start,duration,text
0.0,23.64," All right, so welcome to the first lecture of 600L. That's our new number. My name"
23.64,5.52," is Anna Bell. That's two separate names. First name, Hannah, last name, Bell. Super confusing."
29.16,5.080000000000002," I've been a lecturer here in the CS department for probably almost 10 years now, and I've been"
34.24,4.479999999999997, doing the intro course for a while. I'm really happy to be teaching this full semester
38.72,9.120000000000005," version of 600A. So today, what we're going to do is go over a little bit of course administrative"
47.84,4.8799999999999955," information, and then we'll dive right into just some thoughts about computers, high level"
52.72,4.640000000000001," how they work, and then we'll start going into some Python basics. So we're going to get"
57.36,5.560000000000002," coding right away. So I highly encourage you, since you're in this class, to download"
62.92,6.719999999999999," the lecture slides beforehand, to take notes and run code when I do. Some of the lectures"
69.64,4.560000000000002," are interactive, so and we'll have breaks. So there'll be a place where you can take"
74.2,5.359999999999999," a break to actually do some coding. And that's important. I call them, you try breaks."
79.56,3.6799999999999926, That's important to make sure that you're actually practicing what we are learning right
83.24,5.359999999999999," at this time. The main idea for lectures is, yes, I will do some teaching, but there"
88.6,5.680000000000007, will also be opportunities for questions and for you guys to try some programming right
94.28,4.3999999999999915," on the spot. Even if you don't finish writing a program that we start talking about, I"
98.67999999999999,3.480000000000004," will finish it, and we can all kind of talk about it together, and I'll kind of show you"
102.16,6.159999999999997, some pitfalls and things like that. There will be lots of opportunities to practice in
108.36,6.279999999999987," this class through at various degrees of granularity, and then there's also lots of opportunities"
114.63999999999999,5.400000000000006, that I have in the handouts to do extra practice at home and through a bunch of different
120.03999999999999,7.200000000000003, resources as well. The reason why I stress participation and practice is because part
127.24,3.9200000000000017," of the reason you're here is you want to learn how to program right, you don't know how"
131.16,5.0," to program yet, and programming is actually a skill, right? It's like math or reading."
136.16,4.319999999999993, It's something that you have to practice. You can't just watch me type in a bunch of
140.48,4.599999999999994," lines of code, and then when it comes time for to do the quiz, you automatically know"
145.07999999999998,5.52000000000001, how to do it. You need to do it often more and more so that it becomes sort of second
150.6,6.240000000000009," nature, right? So the three big things you'll get out of this class are knowledge of concepts,"
156.84,5.439999999999998," obviously, we're going to learn some computer science ideas, programming skill, and problem"
162.36,6.47999999999999," solving, problem solving skills. Lectures and exams basically help you with your knowledge"
168.84,5.280000000000001," of, test your knowledge of concepts and help you get knowledge of concepts, finger exercises,"
174.12,5.9199999999999875," get, give you the programming skills, and the problem sets help you with problem solving."
180.04,6.599999999999994," Basically, if you're given an English version of a problem in English, how do you go from"
186.64,5.8799999999999955," that to thinking about what computer science concepts can I apply? And then after that,"
